timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
268848762,1693632412400306,366610270,1263425548,59177,76833,0.21100001,0.009729163,0.89000005,1.4120001,0.62,0.93,97,96,18.744001,9.439,16.195002,-0.559,1.0431085,0,nan,0.0,3,0,1,18,0
269248614,1693632412800307,366610603,1263426270,59549,77205,0.202,0.009597391,0.89000005,1.411,0.62,0.93,97,96,18.246,8.928,15.912001,-0.99600005,1.0595052,0,nan,0.0,3,0,1,18,0
269857613,1693632413400307,366611049,1263427376,59941,77597,0.273,0.0136563275,0.897,1.4120001,0.62,0.93,97,96,18.902,7.07,17.53,-0.021000002,1.1874533,0,nan,0.0,3,0,1,18,0
270249613,1693632413800307,366611211,1263428204,60160,77817,0.21300001,0.0110699255,0.901,1.4120001,0.59,0.93,97,95,19.177,1.8920001,19.084002,-1.148,1.4719708,0,nan,0.0,3,0,1,19,0
270854613,1693632414400307,366611181,1263429468,60720,78377,0.21300001,0.0130168395,0.90300006,1.4120001,0.59,0.93,97,95,18.475,-1.7360001,18.393002,0.12100001,1.6649164,0,nan,0.0,3,0,1,19,0
271248679,1693632414800307,366611117,1263430291,60361,78018,0.23200001,0.010835527,0.906,1.416,0.62,0.93,97,94,18.478,-1.7110001,18.398,1.6070001,1.6635491,0,nan,0.0,3,0,1,18,0
271850622,1693632415400307,366611057,1263431535,59181,76838,0.24200001,0.01083099,0.91,1.422,0.59,0.93,97,94,18.805,-0.46500003,18.800001,2.447,1.5955443,0,nan,0.0,3,0,1,19,0
272253885,1693632415800307,366611067,1263432387,58365,76022,0.23500001,0.010164273,0.9110001,1.4260001,0.59,0.93,97,99,19.213001,1.23,19.174002,1.9430001,1.506728,0,nan,0.0,3,0,1,19,0
272855612,1693632416400308,366611191,1263433681,57359,75017,0.21800001,0.009522516,0.91,1.429,0.59,0.93,97,99,19.604,3.1280003,19.353,1.8290001,1.4105525,0,nan,0.0,3,0,1,19,0
273247612,1693632416800308,366611318,1263434547,56729,74387,0.209,0.009974033,0.91,1.4300001,0.59,0.93,97,78,19.793001,3.9880002,19.387001,1.4920001,1.3679265,0,nan,0.0,3,0,1,19,0
273844042,1693632417400308,366611553,1263435847,55865,73523,0.21300001,0.009726196,0.90900004,1.432,0.62,0.93,97,78,20.005001,4.721,19.44,1.2670001,1.3325515,0,nan,0.0,3,0,1,18,0
274246612,1693632417800308,366611729,1263436716,55452,73110,0.2,0.009428268,0.90900004,1.434,0.59,0.93,97,76,20.126001,5.097,19.469002,0.86700004,1.3147345,0,nan,0.0,3,0,1,19,0
274843613,1693632418400308,366612004,1263438030,55073,72731,0.18900001,0.0087351985,0.90700006,1.4350001,0.59,0.93,97,76,20.387001,5.164,19.722,0.53000003,1.3147187,0,nan,0.0,3,0,1,19,0
275246613,1693632418800308,366612188,1263438907,54949,72608,0.19700001,0.01052608,0.906,1.4330001,0.59,0.93,97,95,20.289001,5.202,19.611,0.24300002,1.3115013,0,nan,0.0,3,0,1,19,0
275851613,1693632419400308,366612492,1263440210,54804,72462,0.19000001,0.008252963,0.90400004,1.4330001,0.59,0.93,97,95,20.242,6.6050005,19.134,0.448,1.2384245,0,nan,0.0,3,0,1,19,0
276232636,1693632419800309,366612776,1263441035,54326,71985,0.256,0.010744072,0.90400004,1.4380001,0.59,0.93,97,90,20.145,10.031,17.470001,1.2360001,1.0495892,0,nan,0.0,3,0,1,19,0
276841614,1693632420400309,366613538,1263441958,54265,71925,0.273,0.010695377,0.906,1.439,0.59,0.93,97,90,19.800001,17.419,9.4140005,-0.822,0.4955023,0,nan,0.0,3,0,1,19,0
277238614,1693632420800309,366614208,1263442215,54758,72418,0.323,0.013692981,0.9110001,1.4410001,0.59,0.93,97,95,19.403002,19.299002,2.0110002,-1.519,0.10384325,0,nan,0.0,3,0,1,19,0
277841614,1693632421400309,366615220,1263442025,56003,73662,0.29700002,0.019649614,0.9250001,1.4430001,0.62,0.93,97,95,19.17,17.646,-7.4890003,-1.7720001,5.881816,0,nan,0.0,3,0,1,18,0
278240649,1693632421800309,366615790,1263441557,56936,74595,0.256,0.023735778,0.94000006,1.4460001,0.59,0.93,97,86,18.79,13.672001,-12.89,-1.973,5.5272093,0,nan,0.0,3,0,1,19,0
