timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
229255401,229156279,0.00338309,0.004760203,0.009433761,1114775,0,0.34380776,0.3975543,0.56935346,0.032137875,0.011130229,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
229453124,229353837,0.004503069,0.012521451,0.018864552,1114775,0,0.32654417,0.3919067,0.58221793,0.07940074,0.011910629,0.011183922,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
229660698,229561274,0.0050697657,0.018489713,0.031117553,1114775,0,0.32677957,0.3914356,0.5785765,0.07993482,0.013680406,0.030419916,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
229857929,229758832,0.0042626103,0.008270094,0.016044464,1114775,0,0.3430732,0.39728215,0.566677,0.07993482,0.013680406,0.009219613,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
230055515,229956390,0.004789581,0.007089228,0.013804101,1114775,0,0.34246635,0.39608514,0.55620617,0.07283354,0.018004805,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
230253072,230153949,0.0035598618,0.007969537,0.017739635,1114775,0,0.34187877,0.39746186,0.5338647,0.052737433,0.018558089,0.0036397178,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
230460510,230361385,0.0037360368,0.008635816,0.020037346,1114775,0,0.34217057,0.3969772,0.51054865,0.106543735,0.018163303,0.00042608764,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
230658181,230558944,0.004490387,0.012596711,0.026208257,1114775,0,0.3247439,0.39141414,0.531635,0.060492005,0.018009923,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
230855603,230756503,0.0034392616,0.004718306,0.009178084,1114775,0,0.3410302,0.39725572,0.52066857,0.060492005,0.018009923,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
231053159,230954061,0.0037793077,0.007530902,0.01137716,1114775,0,0.34047967,0.39610246,0.4711481,0.05220651,0.019115949,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
231260734,231161498,0.004271061,0.0041328785,0.0059290593,1114775,0,0.34082574,0.39563614,0.51058775,0.048014753,0.016865931,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
231458156,231359056,0.0033811175,0.010109916,0.017422244,1114775,0,0.3402627,0.39701784,0.529272,0.08829004,0.014848736,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
231655862,231556615,0.003795666,0.01047591,0.017577596,1114775,0,0.32293752,0.39145797,0.48729485,0.058439597,0.017190538,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
231853272,231754174,0.004285735,0.0025664365,0.009724618,1114775,0,0.33923063,0.39727867,0.48878217,0.058439597,0.017190538,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
