timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
473239040,473112674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
474236775,474108675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
475234414,475105674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
476241970,476110679,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
477239668,477105675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
478237394,478108673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
479244925,479112673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
480232859,480108237,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
481240930,481116225,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
482247887,482117675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
483246210,483121494,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
484233577,484104674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
485241559,485110675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
486248681,486120673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
487246994,487114673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
488244083,488111708,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
489252148,489120678,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
490249394,490116876,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
491247435,491118680,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
492244667,492119879,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
493242694,493111674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
494269784,494137678,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
495247936,495119674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
496245369,496118675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
497243015,497115674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
498250634,498119672,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
499248306,499115674,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
500246028,500113674,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
501233851,501107674,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
502251303,502119673,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
503249023,503124675,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
504246824,504119724,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
505244438,505110756,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
506232273,506105672,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
507239936,507110673,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
508247521,508119690,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
509255040,509127673,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
510233093,510102675,nan,nan,nan,0,0,0,0,0,0,1,0,0,0,0
