timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
258937453,253931924,4,4259850,4028193,4325386,396809,0.29972517,0.3884261,0.071511455,0.08402788,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
259937523,253931924,4,4259850,4028193,4325386,396809,0.18519476,0.2527581,0.028606357,0.032448847,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
260937660,253931924,4,4259850,4028193,4325386,396809,0.11742586,0.15661074,0.078054175,0.064850256,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
261937707,253931924,4,4259850,4028193,4325386,396809,0.17715637,0.24248172,0.042435948,0.04146975,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
262937880,253931924,4,4259850,4028193,4325386,396809,0.105843484,0.14461584,0.015524284,0.02007029,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
263937998,253931924,4,4259850,4028193,4325386,396809,0.114185296,0.115298316,0.112469554,0.11344468,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
263977949,253931924,4,4259850,4028193,4325386,396809,0.114185296,0.37485284,0.37200052,0.37294963,nan,nan,nan,nan,nan,0.74218476,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
264978006,253931924,4,4259850,4028193,4325386,396809,0.5258241,0.6835361,0.14166924,0.13800417,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
265978141,253931924,4,4259850,4028193,4325386,396809,0.9241705,1.2242885,0.118062004,0.11529878,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
266978436,253931924,4,4259850,4028193,4325386,396809,1.1894822,1.4141974,0.094357364,0.075162016,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
