"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
0,4,1377696543.54619,36.662453,126.341669,13.4
0,4,1377696543.74616,36.662418,126.341685,13.2
0,4,1377696543.9463,36.662384,126.341702,12.9
0,4,1377696544.14631,36.662348,126.341719,12.7
0,4,1377696544.34626,36.662313,126.341736,12.6
0,4,1377696544.54629,36.662278,126.341753,12.5
0,4,1377696544.74644,36.662243,126.34177,12.3
0,4,1377696544.94637,36.662207,126.341787,12.1
0,4,1377696545.14638,36.662171,126.341804,11.9
0,4,1377696545.34645,36.662135,126.341822,11.7
0,4,1377696545.54653,36.662099,126.34184,11.6
0,4,1377696545.7465,36.662063,126.341858,11.4
0,4,1377696545.94655,36.662027,126.341876,11.3
0,4,1377696546.1466,36.66199,126.341894,11.1
0,4,1377696546.34658,36.661953,126.341913,11.1
0,4,1377696546.54665,36.661916,126.341931,11
0,4,1377696546.74671,36.661879,126.34195,11
0,4,1377696546.94668,36.661842,126.341968,11.1
0,4,1377696547.14675,36.661804,126.341987,11.1
0,4,1377696547.34674,36.661767,126.342006,11.1
0,4,1377696547.54679,36.66173,126.342025,11.2
0,4,1377696547.74688,36.661693,126.342043,11.3
0,4,1377696547.94687,36.661656,126.342062,11.3
0,4,1377696548.14691,36.661619,126.34208,11.3
0,4,1377696548.34696,36.661583,126.342099,11.3
0,4,1377696548.54698,36.661546,126.342117,11.2
0,4,1377696548.74699,36.66151,126.342136,11.1
0,5,1377696548.94712,36.661474,126.342155,11
0,5,1377696549.14705,36.661438,126.342174,10.9
0,5,1377696549.34709,36.661401,126.342194,10.8
0,5,1377696549.54728,36.661365,126.342213,10.8
0,5,1377696549.74713,36.661329,126.342233,10.7
0,5,1377696549.9472,36.661293,126.342253,10.8
0,5,1377696550.13981,36.661259,126.342273,10.9
0,5,1377696550.34723,36.661221,126.342294,11
0,5,1377696550.54726,36.661185,126.342314,11
0,5,1377696550.74736,36.661149,126.342334,11.1
0,5,1377696550.94734,36.661113,126.342355,11.2
0,5,1377696551.14736,36.661078,126.342375,11.3
0,5,1377696551.34743,36.661042,126.342394,11.4
0,5,1377696551.54745,36.661007,126.342414,11.4
0,5,1377696551.74746,36.660971,126.342434,11.4
0,5,1377696551.94751,36.660935,126.342454,11.4
0,5,1377696552.14755,36.6609,126.342474,11.4
0,5,1377696552.34759,36.660864,126.342494,11.4
0,5,1377696552.54761,36.660828,126.342514,11.3
0,5,1377696552.74761,36.660793,126.342534,11.2
0,5,1377696552.94771,36.660757,126.342554,11.2
0,5,1377696553.1477,36.660721,126.342574,11.2
0,5,1377696553.34773,36.660686,126.342594,11.1
0,5,1377696553.53774,36.660652,126.342613,11
0,5,1377696553.74781,36.660615,126.342634,11
0,5,1377696553.94779,36.660579,126.342654,10.9
0,5,1377696554.14783,36.660543,126.342674,10.9
0,5,1377696554.34791,36.660508,126.342693,10.9
0,5,1377696554.54792,36.660472,126.342713,10.9
0,5,1377696554.74791,36.660436,126.342734,10.9
0,5,1377696554.93796,36.660402,126.342753,10.9
